nanoseconds,executed_shares,execution_price,match_number,order_number,price,shares,tracking_number,buysell_S,msg_type_E,msg_type_P,date
35639913261951,40.0,124.89,967525.0,42540142.0,124.89,41.0,6,1,1,0,20180301
35639913278544,1.0,124.89,967526.0,42540142.0,124.89,41.0,2,1,1,0,20180301
35639913278544,40.0,124.89,967527.0,42808862.0,124.89,40.0,4,1,1,0,20180301
35639913372761,100.0,124.94,967528.0,42040586.0,124.94,100.0,2,1,1,0,20180301
35639914688238,100.0,124.92,967529.0,0.0,124.92,100.0,2,0,0,1,20180301
35640354094731,2.0,125.01,967951.0,42905678.0,125.01,100.0,2,0,1,0,20180301
35640354122053,98.0,125.01,967952.0,42905678.0,125.01,100.0,2,0,1,0,20180301
35728162906534,79.0,124.77,1011916.0,44537686.0,124.77,100.0,2,0,1,0,20180301
35728162911423,21.0,124.77,1011918.0,44537686.0,124.77,100.0,2,0,1,0,20180301
35728162911423,84.0,124.76,1011919.0,44358142.0,124.76,100.0,4,0,1,0,20180301
35728162916136,16.0,124.76,1011920.0,44358142.0,124.76,100.0,2,0,1,0,20180301
35762797843299,200.0,124.82,1033689.0,45381354.0,124.82,200.0,2,1,1,0,20180301
35762797884360,50.0,124.84,1033690.0,0.0,124.84,50.0,2,0,0,1,20180301
35762797886990,50.0,124.84,1033691.0,0.0,124.84,50.0,2,0,0,1,20180301
35762797886990,50.0,124.86,1033692.0,44852082.0,124.86,100.0,4,1,1,0,20180301
35762797891465,50.0,124.86,1033693.0,44852082.0,124.86,100.0,2,1,1,0,20180301
35762798373221,100.0,124.9,1033694.0,45857730.0,124.9,100.0,2,1,1,0,20180301
35772058737445,100.0,124.86,1037430.0,46024470.0,124.86,100.0,2,0,1,0,20180301
35772058764302,100.0,124.85,1037431.0,45983850.0,124.85,100.0,2,0,1,0,20180301
35772060076705,32.0,124.81,1037458.0,46010830.0,124.81,100.0,2,0,1,0,20180301
35772060105611,68.0,124.81,1037460.0,46010830.0,124.81,100.0,2,0,1,0,20180301
35772060105611,100.0,124.81,1037461.0,46026954.0,124.81,100.0,4,0,1,0,20180301
35829633543659,5.0,124.92,1063826.0,0.0,124.92,5.0,2,0,0,1,20180301
35829633543659,9.0,124.94,1063827.0,47141970.0,124.94,9.0,4,1,1,0,20180301
35829633543659,86.0,124.94,1063828.0,0.0,124.94,86.0,6,0,0,1,20180301
35829633574492,100.0,124.94,1063829.0,0.0,124.94,100.0,2,0,0,1,20180301
35829633602662,100.0,124.94,1063830.0,0.0,124.94,100.0,2,0,0,1,20180301
35829633605286,100.0,124.94,1063831.0,47319010.0,124.94,100.0,2,0,1,0,20180301
35829633611131,14.0,124.94,1063832.0,0.0,124.94,14.0,2,0,0,1,20180301
35829633611131,36.0,124.94,1063833.0,0.0,124.94,36.0,4,0,0,1,20180301
35829633617175,64.0,124.94,1063834.0,0.0,124.94,64.0,2,0,0,1,20180301
35829633617175,74.0,124.95,1063835.0,46800966.0,124.95,74.0,4,1,1,0,20180301
35829633617175,12.0,124.95,1063836.0,46869302.0,124.95,100.0,6,1,1,0,20180301
35829633624177,88.0,124.95,1063837.0,46869302.0,124.95,100.0,2,1,1,0,20180301
35829633624177,12.0,124.95,1063838.0,47174318.0,124.95,41.0,4,1,1,0,20180301
35829633639110,29.0,124.95,1063839.0,47174318.0,124.95,41.0,2,1,1,0,20180301
35829633639110,41.0,124.95,1063840.0,47174326.0,124.95,41.0,4,1,1,0,20180301
35829633639110,30.0,124.95,1063841.0,0.0,124.95,30.0,6,0,0,1,20180301
35829633640269,100.0,124.95,1063842.0,0.0,124.95,100.0,2,0,0,1,20180301
35829633643759,170.0,124.95,1063843.0,0.0,124.95,170.0,2,0,0,1,20180301
35829633707984,40.0,124.95,1063844.0,0.0,124.95,40.0,2,0,0,1,20180301
35829633719726,60.0,124.95,1063845.0,0.0,124.95,60.0,2,0,0,1,20180301
35829633719726,40.0,124.95,1063846.0,0.0,124.95,40.0,4,0,0,1,20180301
35829633746656,26.0,124.93,1063847.0,0.0,124.93,26.0,2,0,0,1,20180301
35829633789274,29.0,124.93,1063848.0,0.0,124.93,29.0,2,0,0,1,20180301
35829633789274,71.0,124.96,1063849.0,46805266.0,124.96,100.0,4,1,1,0,20180301
35829633811586,29.0,124.96,1063850.0,46805266.0,124.96,100.0,2,1,1,0,20180301
35829633811586,129.0,124.96,1063851.0,0.0,124.96,129.0,4,0,0,1,20180301
35829633821079,100.0,124.96,1063852.0,0.0,124.96,100.0,2,0,0,1,20180301
35832541715270,5.0,124.96,1065818.0,0.0,124.96,5.0,2,0,0,1,20180301
35832541715270,87.0,124.98,1065819.0,46380762.0,124.98,87.0,4,1,1,0,20180301
35832542731832,40.0,124.99,1065820.0,47351442.0,124.99,41.0,2,1,1,0,20180301
35888202519177,100.0,125.085,1090357.0,0.0,125.085,100.0,2,0,0,1,20180301
35890065004298,50.0,125.02,1091008.0,48522810.0,125.02,100.0,2,0,1,0,20180301
35890065028833,150.0,125.085,1091009.0,0.0,125.085,150.0,2,0,0,1,20180301
35890065043988,34.0,125.02,1091010.0,48522810.0,125.02,100.0,2,0,1,0,20180301
35890065062503,16.0,125.02,1091011.0,48522810.0,125.02,100.0,2,0,1,0,20180301
35890065062503,34.0,125.02,1091012.0,48546810.0,125.02,100.0,4,0,1,0,20180301
35890065070372,50.0,125.02,1091013.0,48546810.0,125.02,100.0,2,0,1,0,20180301
35890065075568,16.0,125.02,1091014.0,48546810.0,125.02,100.0,2,0,1,0,20180301
35890065079339,200.0,125.085,1091015.0,0.0,125.085,200.0,2,0,0,1,20180301
35890065105339,100.0,125.085,1091016.0,0.0,125.085,100.0,2,0,0,1,20180301
35890065108040,100.0,125.085,1091017.0,0.0,125.085,100.0,2,0,0,1,20180301
35890065175492,48.0,125.01,1091018.0,48522802.0,125.01,500.0,2,0,1,0,20180301
35890065179222,26.0,125.01,1091019.0,48522802.0,125.01,500.0,2,0,1,0,20180301
35890065437882,50.0,125.08,1091020.0,0.0,125.08,50.0,2,0,0,1,20180301
35890066326858,10.0,125.09,1091022.0,48552154.0,125.09,10.0,2,1,1,0,20180301
35890786014677,100.0,125.14,1091360.0,0.0,125.14,100.0,2,0,0,1,20180301
35890786014677,100.0,125.14,1091361.0,0.0,125.14,100.0,4,0,0,1,20180301
35890786014677,100.0,125.14,1091362.0,0.0,125.14,100.0,6,0,0,1,20180301
35890786014677,100.0,125.15,1091363.0,48473890.0,125.15,100.0,8,1,1,0,20180301
35890786014677,13.0,125.15,1091364.0,48495722.0,125.15,13.0,10,1,1,0,20180301
35890786044174,87.0,125.15,1091365.0,48554762.0,125.15,100.0,2,1,1,0,20180301
35894785979116,100.0,125.04,1092697.0,48567786.0,125.04,100.0,2,0,1,0,20180301
35894785979116,30.0,125.04,1092698.0,48567790.0,125.04,30.0,4,0,1,0,20180301
35894785979116,100.0,125.04,1092699.0,48568266.0,125.04,100.0,6,0,1,0,20180301
35894786316246,32.0,125.02,1092701.0,0.0,125.02,32.0,2,0,0,1,20180301
35894786383640,202.0,125.02,1092702.0,0.0,125.02,202.0,2,0,0,1,20180301
35894786397651,66.0,125.02,1092703.0,0.0,125.02,66.0,2,0,0,1,20180301
35894786397651,34.0,125.02,1092704.0,0.0,125.02,34.0,4,0,0,1,20180301
35894786398570,224.0,125.02,1092705.0,0.0,125.02,224.0,2,0,0,1,20180301
35894786400488,42.0,125.02,1092706.0,0.0,125.02,42.0,2,0,0,1,20180301
35894786400488,108.0,125.01,1092707.0,48522802.0,125.01,500.0,4,0,1,0,20180301
35894786401259,50.0,125.01,1092708.0,48522802.0,125.01,500.0,2,0,1,0,20180301
35894786408643,50.0,125.01,1092709.0,48522802.0,125.01,500.0,2,0,1,0,20180301
35894786429353,218.0,125.01,1092710.0,48522802.0,125.01,500.0,2,0,1,0,20180301
35894786803001,3.0,124.97,1092718.0,48549230.0,124.97,100.0,2,0,1,0,20180301
35894926686381,100.0,124.97,1092883.0,48549234.0,124.97,100.0,2,0,1,0,20180301
35896340624283,200.0,125.005,1093416.0,0.0,125.005,200.0,2,0,0,1,20180301
35902698305830,100.0,125.005,1095980.0,0.0,125.005,100.0,2,0,0,1,20180301
35902698882148,32.0,125.005,1095992.0,0.0,125.005,32.0,2,0,0,1,20180301
35905910139956,100.0,125.04,1097820.0,0.0,125.04,100.0,2,0,0,1,20180301
35905910139956,100.0,125.05,1097821.0,48650758.0,125.05,100.0,4,1,1,0,20180301
35909556278543,32.0,125.005,1099385.0,0.0,125.005,32.0,2,0,0,1,20180301
35910049526541,100.0,125.005,1099584.0,0.0,125.005,100.0,2,0,0,1,20180301
35910049688908,91.0,125.005,1099585.0,0.0,125.005,91.0,2,0,0,1,20180301
35910050018384,100.0,124.96,1099586.0,48686510.0,124.96,100.0,2,0,1,0,20180301
35919538420584,100.0,125.01,1103443.0,0.0,125.01,100.0,2,0,0,1,20180301
